iteration,approach,nPoints,nThreads,time,pi,error
1,4,1000000,1,0.042674,3.141124,0.000469
2,4,1000000,1,0.038360,3.141124,0.000469
3,4,1000000,1,0.042291,3.141124,0.000469
1,4,1000000,2,0.047756,3.137756,0.003837
2,4,1000000,2,0.046972,3.137756,0.003837
3,4,1000000,2,0.046308,3.137756,0.003837
1,4,1000000,4,0.023974,3.140320,0.001273
2,4,1000000,4,0.024506,3.140320,0.001273
3,4,1000000,4,0.024406,3.140320,0.001273
1,4,1000000,8,0.015177,3.140964,0.000629
2,4,1000000,8,0.015465,3.140964,0.000629
3,4,1000000,8,0.015020,3.140964,0.000629
1,4,1000000,16,0.011483,3.140192,0.001401
2,4,1000000,16,0.011806,3.140192,0.001401
3,4,1000000,16,0.012855,3.140192,0.001401
1,4,1000000,32,0.012085,3.126652,0.014941
2,4,1000000,32,0.013382,3.126652,0.014941
3,4,1000000,32,0.012669,3.126652,0.014941
1,4,1000000,64,0.024293,3.133380,0.008213
2,4,1000000,64,0.019002,3.133380,0.008213
3,4,1000000,64,0.015158,3.133380,0.008213
1,4,1000000,100,0.029081,3.071872,0.069721
2,4,1000000,100,0.030973,3.071872,0.069721
3,4,1000000,100,0.032260,3.071872,0.069721
1,4,1000000,200,0.058755,2.966344,0.175249
2,4,1000000,200,0.049203,2.966344,0.175249
3,4,1000000,200,0.053074,2.966344,0.175249
1,4,1000000,500,0.133271,2.909008,0.232585
2,4,1000000,500,0.118239,2.909008,0.232585
3,4,1000000,500,0.100132,2.899328,0.242265
1,4,1000000,1000,0.177574,2.420204,0.721389
2,4,1000000,1000,0.159621,2.420204,0.721389
3,4,1000000,1000,0.137405,2.420204,0.721389
1,4,10000000,1,0.393528,3.142143,0.000551
2,4,10000000,1,0.415427,3.141617,0.000024
3,4,10000000,1,0.392461,3.141617,0.000024
1,4,10000000,2,0.457617,3.142008,0.000415
2,4,10000000,2,0.480431,3.142405,0.000812
3,4,10000000,2,0.459141,3.142405,0.000812
1,4,10000000,4,0.242042,3.141260,0.000333
2,4,10000000,4,0.249930,3.141260,0.000333
3,4,10000000,4,0.243917,3.141260,0.000333
1,4,10000000,8,0.131608,3.140823,0.000769
2,4,10000000,8,0.133054,3.140823,0.000769
3,4,10000000,8,0.140789,3.140823,0.000769
1,4,10000000,16,0.082745,3.140691,0.000901
2,4,10000000,16,0.084930,3.140691,0.000901
3,4,10000000,16,0.084334,3.140691,0.000901
1,4,10000000,32,0.072298,3.139876,0.001716
2,4,10000000,32,0.063623,3.139876,0.001716
3,4,10000000,32,0.060752,3.139876,0.001716
1,4,10000000,64,0.065414,3.139305,0.002287
2,4,10000000,64,0.066927,3.139305,0.002287
3,4,10000000,64,0.053677,3.137115,0.004478
1,4,10000000,100,0.058689,3.137582,0.004011
2,4,10000000,100,0.060972,3.137582,0.004011
3,4,10000000,100,0.052105,3.137582,0.004011
1,4,10000000,200,0.072218,3.136704,0.004889
2,4,10000000,200,0.065654,3.136704,0.004889
3,4,10000000,200,0.062320,3.136704,0.004889
1,4,10000000,500,0.087377,3.111124,0.030469
2,4,10000000,500,0.100173,3.111124,0.030469
3,4,10000000,500,0.086093,3.111124,0.030469
1,4,10000000,1000,0.183357,3.065787,0.075806
2,4,10000000,1000,0.178076,3.065787,0.075806
3,4,10000000,1000,0.138200,3.063357,0.078236
1,4,100000000,1,3.989899,3.141570,0.000022
2,4,100000000,1,3.959175,3.141755,0.000163
3,4,100000000,1,3.906760,3.141862,0.000269
1,4,100000000,2,4.307571,3.141573,0.000020
2,4,100000000,2,4.326681,3.141507,0.000085
3,4,100000000,2,4.376829,3.141399,0.000194
1,4,100000000,4,2.386556,3.141550,0.000043
2,4,100000000,4,2.376483,3.141545,0.000048
3,4,100000000,4,2.406798,3.141703,0.000111
1,4,100000000,8,1.322362,3.141659,0.000066
2,4,100000000,8,1.324188,3.141746,0.000154
3,4,100000000,8,1.339544,3.141335,0.000257
1,4,100000000,16,0.862373,3.141262,0.000331
2,4,100000000,16,0.840614,3.141269,0.000324
3,4,100000000,16,0.863483,3.141269,0.000324
1,4,100000000,32,0.516810,3.141407,0.000185
2,4,100000000,32,0.543099,3.141586,0.000007
3,4,100000000,32,0.512493,3.141586,0.000007
1,4,100000000,64,0.488513,3.141401,0.000191
2,4,100000000,64,0.476029,3.141401,0.000191
3,4,100000000,64,0.459054,3.141373,0.000220
1,4,100000000,100,0.393508,3.141228,0.000364
2,4,100000000,100,0.403092,3.141213,0.000379
3,4,100000000,100,0.452806,3.141213,0.000379
1,4,100000000,200,0.424597,3.140579,0.001013
2,4,100000000,200,0.379161,3.140579,0.001013
3,4,100000000,200,0.419657,3.140579,0.001013
1,4,100000000,500,0.425456,3.140111,0.001482
2,4,100000000,500,0.385054,3.140111,0.001482
3,4,100000000,500,0.454066,3.139425,0.002167
1,4,100000000,1000,0.440121,3.136854,0.004738
2,4,100000000,1000,0.466595,3.136854,0.004738
3,4,100000000,1000,0.434269,3.137715,0.003877
